Unique ID,Interview start time,Interview end time,The device used in the latest access of the survey link,Language of interview,Wave 112 form assignment,Flag to identify non-internet households that were provided a tablet,How often do you discuss government and politics with others?,Would you say you follow the news…,"How much, if at all, do you trust the information you get from… National news organizations","How much, if at all, do you trust the information you get from… Local news organizations","How much, if at all, do you trust the information you get from… Social media sites, such as Facebook, Twitter or YouTube"
109143,2022-07-19 07:30:36,2022-07-19 08:00:10,Smartphone,English,Form 2,Non-tablet HH,Less often,Some of the time,Some,Some,Not at all
109188,2022-07-23 00:03:00,2022-07-23 00:17:17,Laptop/PC,English,Form 2,Non-tablet HH,A few times a month,All or most of the time,Some,Some,Not too much
109299,2022-07-21 08:34:21,2022-07-21 08:51:54,Laptop/PC,English,Form 2,Non-tablet HH,A few times a month,Only now and then,Not too much,Some,Not at all
110041,2022-07-20 15:58:42,2022-07-20 16:12:59,Laptop/PC,English,Form 2,Non-tablet HH,Nearly every day,All or most of the time,Not at all,Some,Not too much
110129,2022-07-22 18:04:10,2022-07-22 18:15:46,Smartphone,English,Form 2,Non-tablet HH,A few times a month,Some of the time,Some,Some,Not too much
110353,2022-07-21 08:21:18,2022-07-25 15:16:01,Smartphone,English,Form 1,Non-tablet HH,A few times a month,All or most of the time,Some,Some,Some
110550,2022-07-21 00:19:23,2022-07-21 00:34:15,Laptop/PC,English,Form 2,Non-tablet HH,A few times a week,All or most of the time,Some,Not too much,Some
111646,2022-07-23 13:46:50,2022-07-23 14:51:24,Smartphone,English,Form 2,Non-tablet HH,A few times a week,All or most of the time,A lot,Some,Not too much
111665,2022-07-20 15:53:14,2022-07-20 16:03:01,Laptop/PC,English,Form 2,Tablet HH,A few times a month,All or most of the time,Some,Some,Not at all
111927,2022-07-22 13:45:03,2022-07-22 13:59:51,Smartphone,English,Form 1,Non-tablet HH,Less often,Only now and then,Not at all,Not at all,Not at all
112238,2022-07-21 19:32:57,2022-07-21 19:44:55,Smartphone,English,Form 2,Non-tablet HH,A few times a month,Some of the time,Some,Some,Not too much
112371,2022-07-20 21:13:51,2022-07-20 21:27:22,Smartphone,English,Form 1,Non-tablet HH,A few times a month,Only now and then,Not at all,Not at all,Not too much
112517,2022-07-22 17:54:48,2022-07-22 20:30:17,Smartphone,English,Form 2,Non-tablet HH,Less often,Some of the time,Some,Some,A lot
112613,2022-07-24 13:54:08,2022-07-24 14:05:59,Laptop/PC,English,Form 1,Non-tablet HH,A few times a month,All or most of the time,Some,A lot,Not at all
112984,2022-07-21 00:02:57,2022-07-21 00:26:20,Smartphone,English,Form 1,Non-tablet HH,Nearly every day,All or most of the time,A lot,A lot,Not at all
113274,2022-07-20 21:48:23,2022-07-20 21:56:00,Smartphone,English,Form 1,Non-tablet HH,A few times a month,All or most of the time,A lot,A lot,A lot
113412,2022-07-20 18:28:41,2022-07-20 18:40:45,Laptop/PC,English,Form 1,Non-tablet HH,Nearly every day,All or most of the time,Some,Some,Not too much
113565,2022-07-20 21:48:30,2022-07-20 22:03:05,Smartphone,English,Form 2,Non-tablet HH,A few times a week,Some of the time,Not too much,Not too much,Not at all
114197,2022-07-20 20:58:47,2022-07-20 21:09:49,Smartphone,English,Form 2,Non-tablet HH,Less often,Some of the time,Not too much,Some,Not at all
114473,2022-07-20 17:26:06,2022-07-20 17:37:22,Smartphone,English,Form 2,Non-tablet HH,A few times a week,All or most of the time,Not too much,A lot,Not too much
114671,2022-07-21 11:14:02,2022-07-21 11:27:30,Smartphone,English,Form 2,Non-tablet HH,Nearly every day,All or most of the time,Not at all,Not too much,Not at all
114898,2022-07-20 17:03:22,2022-07-20 17:12:11,Smartphone,English,Form 1,Non-tablet HH,A few times a week,Some of the time,Not too much,Some,Not too much
115295,2022-07-21 11:41:04,2022-07-21 11:55:09,Laptop/PC,English,Form 2,Non-tablet HH,Less often,All or most of the time,Not at all,Not at all,Not at all
115546,2022-07-20 16:06:56,2022-07-20 16:14:36,Smartphone,English,Form 1,Non-tablet HH,Less often,Some of the time,Not too much,Some,Not too much
116151,2022-07-21 15:42:06,2022-07-23 02:48:59,Smartphone,English,Form 2,Non-tablet HH,Nearly every day,All or most of the time,Not too much,Not at all,Not too much
116182,2022-07-20 17:15:26,2022-07-20 17:23:54,Smartphone,English,Form 1,Non-tablet HH,A few times a week,Only now and then,Not too much,Some,Not too much
116264,2022-07-23 13:35:33,2022-07-23 13:46:21,Smartphone,English,Form 1,Non-tablet HH,A few times a week,Some of the time,Not too much,Some,Not at all
116422,2022-07-21 14:09:17,2022-07-21 14:22:46,Laptop/PC,English,Form 2,Non-tablet HH,A few times a month,Only now and then,Not at all,Some,Not at all
116439,2022-07-20 18:38:12,2022-07-20 23:08:59,Laptop/PC,English,Form 1,Non-tablet HH,A few times a month,Some of the time,Some,A lot,Not too much
116591,2022-07-22 13:47:16,2022-07-22 14:02:52,Laptop/PC,English,Form 2,Non-tablet HH,Less often,Hardly ever,Not at all,Some,Not at all
116617,2022-07-20 16:01:25,2022-07-20 16:09:42,Laptop/PC,English,Form 1,Non-tablet HH,Nearly every day,All or most of the time,A lot,A lot,Some
116832,2022-07-24 07:42:25,2022-07-24 07:54:13,Smartphone,English,Form 1,Non-tablet HH,Nearly every day,All or most of the time,Not too much,Not too much,Not at all
116861,2022-07-23 16:57:20,2022-07-23 17:13:27,Laptop/PC,English,Form 2,Non-tablet HH,Nearly every day,All or most of the time,Not at all,Not too much,Some
